Original,Final
Pellissier S.,Pellissier S.
Peluso F.,Peluso F.
Penaranda A.,Penaranda A.
Pepe S.,Pepe S.
Perea B.,Perea B.
Pereira P.,Pereira P.
Pereirinha B.,Pereirinha B.
Peres B.,Peres B.
Pereyra R.,Pereyra R.
Perez J.,Perez J.
Perez R.,Perez R.
Perica S.,Perica S.
Perico G.,Perico G.
Perin M.,Perin M.
Perisic I.,Perisic I.
Perotti D.,Perotti D.
Pesic A.,Pesic A.
Petagna A.,Petagna A.
Petkovic B.,Petkovic B.
Pettinari S.,Pettinari S.
Pezzella G.,Pezzella G.
Pinamonti A.,Pinamonti A.
Pinilla M.,Pinilla M.
Pinzi G.,Pinzi G.
Piris I.,Piris I.
Pirlo A.,Pirlo A.
Pisacane F.,Pisacane F.
Pisano E.,Pisano E.
Pisano F.,Pisano F.
Piu A.,Piu A.
Pizarro D.,Pizarro D.
Pjaca M.,Pjaca M.
Pjanic M.,Pjanic M.
Plizzari A.,Plizzari A.
Podolski L.,Podolski L.
Pogba P.,Pogba P.
Poli A.,Poli A.
Poli F.,Poli F.
Politano M.,Politano M.
Pomini A.,Pomini A.
Porcari F.,Porcari F.
Posavec J.,Posavec J.
Pozzi N.,Pozzi N.
Praet D.,Praet D.
Prce F.,Prce F.
Prcic S.,Prcic S.
Pryima V.,Pryima V.
Pucciarelli M.,Pucciarelli M.
Puggioni C.,Puggioni C.
Pugliesi M.,Pugliesi M.
Pulgar E.,Pulgar E.
Pulzetti N.,Pulzetti N.
Puscas G.,Puscas G.
Quagliarella F.,Quagliarella F.
Quaison R.,Quaison R.
Radosevic J.,Radosevic J.
Radovanovic I.,Radovanovic I.
Radu S.,Radu S.
Radunovic B.,Radunovic B.
Rafael A.,Rafael A.
Rafael C.,Rafael C.
Rafael D.,Rafael D.
Rafael d.,Rafael D.
Ragusa A.,Ragusa A.
Raimondi C.,Raimondi C.
Rajkovic S.,Rajkovic S.
Rami A.,Rami A.
Ranocchia A.,Ranocchia A.
Rebic A.,Rebic A.
Regini V.,Regini V.
Reina J.,Reina J.
Reina P.,Reina P.
Renzetti F.,Renzetti F.
Ricci F.,Ricci F.
Richards M.,Richards M.
Rigoni L.,Rigoni L.
Rigoni N.,Rigoni N.
Rincon T.,Rincon T.
Rispoli A.,Rispoli A.
Ristovski S.,Ristovski S.
Rizzo L.,Rizzo L.
Rocca M.,Rocca M.
Rodriguez A.,Rodriguez A.
Rodriguez C.,Rodriguez C.
Rodriguez G.,Rodriguez G.
Rog M.,Rog M.
Rohden M.,Rohden M.
Romagnoli A.,Romagnoli A.
Romagnoli S.,Romagnoli S.
Romero S.,Romero S.
Romulo O.,Romulo O.
Romulo S.,Romulo S.
Ronaldo ,Ronaldo 
Roncaglia F.,Roncaglia F.
Rosi A.,Rosi A.
Rosseti V.,Rosseti V.
Rossettini L.,Rossettini L.
Rossi A.,Rossi A.
Rossi G.,Rossi G.
Rubinho ,Rubinho 
Rudiger A.,Rudiger A.
Rugani D.,Rugani D.
Rui M.,Rui M.
Russo A.,Russo A.
Sabelli S.,Sabelli S.
Sadiq U.,Sadiq U.
Sainsbury T.,Sainsbury T.
Sala J.,Sala J.
Salah M.,Salah M.
Salamon B.,Salamon B.
Salcedo C.,Salcedo C.
Sallai R.,Sallai R.
Salzano A.,Salzano A.
Samir ,Samir 
Sammarco P.,Sammarco P.
Sampirisi M.,Sampirisi M.
Sanabria A.,Sanabria A.
Sanchez C.,Sanchez C.
Sanchez Mino J.,Sanchez Mino J.
Sansone G.,Sansone G.
Sansone N.,Sansone N.
Santacroce F.,Santacroce F.
Santon D.,Santon D.
Saponara R.,Saponara R.
Sardo G.,Sardo G.
Sarr M.,Sarr M.
Sau M.,Sau M.
Savic S.,Savic S.
Saviola J.,Saviola J.
Scaloni L.,Scaloni L.
Schelotto E.,Schelotto E.
Schick P.,Schick P.
Scuffet S.,Scuffet S.
Seculin A.,Seculin A.
Sensi S.,Sensi S.
Sepe L.,Sepe L.
Shaqiri X.,Shaqiri X.
Signorelli F.,Signorelli F.
Siligardi L.,Siligardi L.
Silva G.,Silva G.
Silva S.,Silva S.
Silvestre M.,Silvestre M.
Simeone G.,Simeone G.
Simy ,Simy 
Sirigu S.,Sirigu S.
Skorupski L.,Skorupski L.
Skriniar M.,Skriniar M.
Soddimo D.,Soddimo D.
Somma M.,Somma M.
Sorensen F.,Sorensen F.
Soriano R.,Soriano R.
Sorrentino S.,Sorrentino S.
Sosa J.,Sosa J.
Souprayen S.,Souprayen S.
Spinazzola L.,Spinazzola L.
Spolli N.,Spolli N.
Sportiello M.,Sportiello M.
Stendardo G.,Stendardo G.
Stoian A.,Stoian A.
Storari M.,Storari M.
Strakosha T.,Strakosha T.
Strinic I.,Strinic I.
Strootman K.,Strootman K.
Struna A.,Struna A.
Sturaro S.,Sturaro S.
Suagher E.,Suagher E.
Suarez M.,Suarez M.
Succi D.,Succi D.
Sunjic T.,Sunjic T.
Suso ,Suso 
Szczesny W.,Szczesny W.
Taarabt A.,Taarabt A.
Tabacchi A.,Tabacchi A.
Tabanelli A.,Tabanelli A.
Tachtsidis P.,Tachtsidis P.
Taider S.,Taider S.
Tambe A.,Tambe A.
Tatarusanu C.,Tatarusanu C.
Tavano F.,Tavano F.
Telles A.,Telles A.
Tello A.,Tello A.
Tello C.,Tello C.
Terranova E.,Terranova E.
Terzi C.,Terzi C.
Tevez C.,Tevez C.
Thereau C.,Thereau C.
Thiam M.,Thiam M.
Toledo H.,Toledo H.
Toloi R.,Toloi R.
Tomovic N.,Tomovic N.
Tonelli L.,Tonelli L.
Tonev A.,Tonev A.
Toni L.,Toni L.
Torosidis V.,Torosidis V.
