CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
LUCAS LEIVA,C,,9,9,//www.fantacalcio.it/squadre/Lazio/LUCAS-LEIVA/2209,Lazio
MILINKOVIC-SAVIC,C,,23,23,//www.fantacalcio.it/squadre/Lazio/MILINKOVIC-SAVIC/645,Lazio
ANDERSON A,C,T,2,2,//www.fantacalcio.it/squadre/Lazio/ANDERSON-A/4389,Lazio
LAZZARI M,C,E,15,15,//www.fantacalcio.it/squadre/Lazio/LAZZARI-M/2263,Lazio
MARUSIC,C,E,5,5,//www.fantacalcio.it/squadre/Lazio/MARUSIC/2188,Lazio
ADEKANYE,A,A,8,8,//www.fantacalcio.it/squadre/Lazio/ADEKANYE/4388,Lazio
IMMOBILE,A,Pc,34,34,//www.fantacalcio.it/squadre/Lazio/IMMOBILE/785,Lazio
CORREA,A,A,20,20,//www.fantacalcio.it/squadre/Lazio/CORREA/495,Lazio
CAICEDO,A,Pc,14,14,//www.fantacalcio.it/squadre/Lazio/CAICEDO/2284,Lazio
VIGORITO,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/VIGORITO/2809,lecce
