Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2018-19,Fantacalcio,A,INGLESE,Parma,25,6.14,7.24,7,0,0,2,2,0,2,0,3,0,0
2018-19,Fantacalcio,A,MEGGIORINI,Chievo,24,5.54,5.79,2,0,0,1,1,0,0,0,6,0,0
2018-19,Fantacalcio,A,PALOSCHI,SPAL,17,5.74,6,2,0,0,0,0,0,0,0,3,0,0
2018-19,Fantacalcio,A,PELLISSIER,Chievo,14,6.18,6.86,3,0,0,2,1,1,1,0,1,0,0
2018-19,Fantacalcio,P,SKORUPSKI,Bologna,38,6.11,4.62,0,56,0,0,0,0,0,0,1,0,0
2018-19,Fantacalcio,D,BARBA,Chievo,30,5.6,5.45,0,0,0,0,0,0,0,0,5,2,0
2018-19,Fantacalcio,D,HYSAJ,Napoli,25,5.76,5.76,0,0,0,0,0,0,2,0,4,0,0
2018-19,Fantacalcio,D,LAURINI,Fiorentina,13,5.81,5.65,0,0,0,0,0,0,0,0,4,0,0
2018-19,Fantacalcio,D,MARIO RUI,Napoli,19,5.82,5.87,1,0,0,0,0,0,1,0,4,1,0
2018-19,Fantacalcio,D,TONELLI,Sampdoria,19,5.84,5.74,1,0,0,0,0,0,0,0,6,0,1
2018-19,Fantacalcio,C,DIOUSSE',Chievo,14,5.79,5.61,0,0,0,0,0,0,0,0,5,0,0
2018-19,Fantacalcio,C,KRUNIC,Empoli,33,6,6.5,5,0,0,0,0,0,6,0,7,1,0
2018-19,Fantacalcio,C,SAPONARA,Sampdoria,21,6.12,6.52,2,0,0,0,0,0,4,0,3,0,0
2018-19,Fantacalcio,C,ZIELINSKI,Napoli,36,6.15,6.62,6,0,0,0,0,0,2,0,6,0,0
2018-19,Fantacalcio,A,MCHEDLIDZE,Empoli,7,5.71,5.79,0,0,0,0,0,0,1,0,1,0,0
2018-19,Fantacalcio,A,PUCCIARELLI,Chievo,8,5.38,5.31,0,0,0,0,0,0,0,0,1,0,0
2018-19,Fantacalcio,P,SEPE,Parma,37,6.09,4.43,0,59,0,0,0,0,0,0,1,0,1
