CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
MARONI,C,T,7,7,//www.fantacalcio.it/squadre/Sampdoria/MARONI/4405,2019,Sampdoria,Maroni Gonzalo,Argentina,18/03/1999,177,
GABBIADINI,A,A,13,13,//www.fantacalcio.it/squadre/Sampdoria/GABBIADINI/407,2019,Sampdoria,Gabbiadini Manolo,Italia,26/11/1991,186,81
CAPRARI,A,A,14,14,//www.fantacalcio.it/squadre/Sampdoria/CAPRARI/1958,2019,Sampdoria,Caprari Gianluca,Italia,30/07/1993,176,70
BONAZZOLI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sampdoria/BONAZZOLI/505,2019,Sampdoria,Bonazzoli Federico,Italia,21/05/1997,182,79
BAHLOULI,A,A,1,1,//www.fantacalcio.it/squadre/Sampdoria/BAHLOULI/4508,2019,Sampdoria,Bahlouli Mohamed,"Francia, Algeria",17/02/2000,173,
QUAGLIARELLA,A,Pc,34,34,//www.fantacalcio.it/squadre/Sampdoria/QUAGLIARELLA/568,2019,Sampdoria,Quagliarella Fabio,Italia,31/01/1983,180,79
CONSIGLI,P,Por,10,10,//www.fantacalcio.it/squadre/Sassuolo/CONSIGLI/509,2019,Sassuolo,Consigli Andrea,Italia,27/01/1987,189,79
RUSSO A,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/RUSSO-A/4518,2019,Sassuolo,Russo Alessandro,Italia,31/03/2001,193,
PEGOLO,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/PEGOLO/510,2019,Sassuolo,Pegolo Gianluca,Italia,25/03/1981,183,76
GRAVILLON,D,,6,6,//www.fantacalcio.it/squadre/Sassuolo/GRAVILLON/2184,2019,Sassuolo,Gravillon Andrew,"Guadalupa, Francia",08/02/1998,188,
TOLJAN,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/TOLJAN/4426,2019,Sassuolo,Toljan Jeremy,"Germania, Stati Uniti",08/08/1994,182,
GOLDANIGA,D,Dc,4,4,//www.fantacalcio.it/squadre/Sassuolo/GOLDANIGA/418,2019,Sassuolo,Goldaniga Edoardo,Italia,02/11/1993,193,
ROGERIO,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/ROGERIO/2318,2019,Sassuolo,Rogerio,Brasile,13/01/1998,178,
MULDUR,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/MULDUR/4521,2019,Sassuolo,Muldur Mert,"Turchia, Austria",03/04/1999,188,
FERRARI G,D,Dc,9,9,//www.fantacalcio.it/squadre/Sassuolo/FERRARI-G/1895,2019,Sassuolo,Ferrari Gianmarco,Italia,15/05/1992,189,82
PELUSO,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/PELUSO/521,2019,Sassuolo,Peluso Federico,Italia,20/01/1984,188,77
MARLON,D,Dc,6,6,//www.fantacalcio.it/squadre/Sassuolo/MARLON/2355,2019,Sassuolo,Marlon,Brasile,07/09/1995,182,
TRIPALDELLI,D,,2,2,//www.fantacalcio.it/squadre/Sassuolo/TRIPALDELLI/4406,2019,Sassuolo,Tripaldelli Alessandro,Italia,09/02/1999,182,
DUNCAN,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/DUNCAN/526,2019,Sassuolo,Duncan Alfred,Ghana,10/03/1993,178,78
OBIANG,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/OBIANG/4501,2019,Sassuolo,Obiang Pedro,"Guinea Equatoriale, Spagna",27/03/1992,186,
DJURICIC,C,T,5,5,//www.fantacalcio.it/squadre/Sassuolo/DJURICIC/1995,2019,Sassuolo,Djuricic Filip,Serbia,30/01/1992,181,72
MAZZITELLI,C,C,2,2,//www.fantacalcio.it/squadre/Sassuolo/MAZZITELLI/1976,2019,Sassuolo,Mazzitelli Luca,Italia,15/11/1995,184,76
BOURABIA,C,C,6,6,//www.fantacalcio.it/squadre/Sassuolo/BOURABIA/2825,2019,Sassuolo,Bourabia Mehdi,"Marocco, Francia",07/08/1991,183,
MAGNANELLI,C,M,5,5,//www.fantacalcio.it/squadre/Sassuolo/MAGNANELLI/528,2019,Sassuolo,Magnanelli Francesco,Italia,12/11/1984,180,70
LOCATELLI M,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/LOCATELLI-M/827,2019,Sassuolo,Locatelli Manuel,Italia,08/01/1998,185,75
TRAORE' HJ,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/TRAORE-HJ/2857,2019,Sassuolo,Traorè Hamed Junior,Costa d'Avorio,18/02/2000,184,
